title,genres,overview
The Devil's Brother,Comedy,The Devil's Brother or Bogus Bandits or Fra Diavolo is a 1933 comedy film starring Laurel and Hardy. It is based on Daniel Auber's operetta Fra Diavolo about the Italian bandit Fra Diavolo.
The Gray Man,"Crime, Drama, Mystery, Thriller","Early 20th century. Albert Fish, a seemingly benevolent father and grandfather who reared his family by himself after his wife deserted them, turns out to be a serial child molester and murderer. Based on a true story."
Depeche Mode: The Videos 86-98,Music,"The Videos 86&gt;98 is a music video compilation by Depeche Mode, featuring almost two dozen music videos directed by a variety of directors, released in 1998. It coincides with The Singles 86&gt;98.  The original movie was released on VHS and DVD. There was however a special edition, DVD only, called Videos 86&gt;98 + (without ""The"", and with ""+"") released in 2002. The DVD was two discs, the first disc being identical to the only disc in the original DVD, while the second DVD contains bonus material not found in the original release."
The Bad Child,Unknown,Unknown
Kings and Queen,"Romance, Drama, Comedy","Nora Cotterelle, a woman in her 30s is caring for her ill father, Louis Jenssens. While Nora tries to present a facade that all is well with her life, she is twice divorced and has a son, Elias, whose father is dead. Nora's present relationship is not going well, and she is soon to marry a businessman, while Elias is becoming increasingly withdrawn. A parallel storyline follows her former lover and second husband, Ismaël Vuillard, a musician, with whom she had lived for seven years. He is given to strange behaviour, and as a result he has been committed to a mental hospital, from which he is planning to escape. Nora learns that her father's digestive problems are actually cancer, and facing her father's death, Nora desperately seeks out Ismaël to ask that he reconnect with Elias, but he has mixed feelings about adopting her son. Moreover, he has met Arielle, another patient."
Operation Homecoming: Writing the Wartime Experience,Documentary,"A unique documentary about troops' experiences in Iraq and Afghanistan, based on writings by soldiers, Marines, and air men."
Basara: Princess Goh,"History, Drama","The final feature by Hiroshi Teshigahara. A direct sequel to his preceding film, Rikyu (1989)."
Glasses,"Comedy, Foreign","Harried and overworked, Taeko leaves the city for a much-needed island vacation. Stepping off a propeller plane onto golden sands, she drags her giant suitcase across the beach to Hamada Inn. Owner Yuji is impressed; it's the first time in three years a guest has made it to the inn without getting lost. The next morning Taeko wakes up to the greetings of peculiar fellow vacationer Sakura who leads the townspeople in funny morning calisthenics on the beach. Thus begins Taeko's strange vacation on this strange island full of strange people. At first Taeko finds the laidback attitude and mass idleness hard to bear, but soon she too begins to see the joy in ""twilighting""."
For Grace,Documentary,"Curtis Duffy, a teen who fought and stole for the thrill, discovered his place in the kitchen after a home economics teacher nurtured his talents. After an unimaginable tragedy involving his parents, Duffy doubled down on his cooking career. Soon, his intense drive earned him accolades as one of the country's most renowned chefs. But as he began building his dream restaurant in Chicago, called Grace, Duffy found himself in another point of personal crisis: His laser focus cost him his marriage and two young daughters.  For Grace is a documentary about food, family, sacrifice, and the journey from concrete box to opening night of one of the world's most acclaimed restaurants."
To Hell and Back,"Action, Romance, Drama, History, War","The true WWII story of Audie Murphy, the most decorated soldier in U.S. history. Based on the autobiography of Audie Murphy who stars as himself in the film."
Whiplash,"Drama, Music","A ferocious, bullying music teacher teaches a dedicated student. This is the 18 min short film that the feature film was based on."
Catch Me Daddy,Thriller,"Laila, a girl on the run from her family is hiding out in West Yorkshire with her drifter boyfriend Aaron. When her brother arrives in town with a gang of thugs in tow, she is forced to flee for her life and faces her darkest night."
Kitchen Party,Comedy,"A group of teenagers come together to indulge in that great Canadian pastime, the house-party, and find themselves literally confined to the kitchen trapped by an extraordinary well manicured carpet in the living room. Elsewhere, the parents of these kids have a dinner party of their own, where suburban pretense slowly melts away exposing childish obsessions."
Three Supermen in the Jungle,Unknown,Three superheroes attempt to reclaim the stolen lease of a uranium mine.
A Night in the Life of Jimmy Reardon,"Drama, Romance","A recent high school graduate is faced with two options, either go to a business school where his father wants him to go to, or get a full time job. However he decides to defy his father and go to Hawaii. Trouble is he has no money. Along the way he comes to understand his parents and eventually bonds with his father."
The Letter,"Crime, Drama, Romance","After a woman shoots a man to death, a damning letter she wrote raises suspicions."
Gangster No. 1,"Action, Drama, Thriller","An old gangster is advised that Freddie Mays would leave jail after thirty years in prison. His mood changes and he recalls when he was a young punk, who joined Freddie Mays' gang, a man he both envied and ultimately betrayed."
Fast & Furious,"Action, Crime, Drama, Thriller","When a crime brings them back to L.A., fugitive ex-con Dom Toretto reignites his feud with agent Brian O'Conner. But as they are forced to confront a shared enemy, Dom and Brian must give in to an uncertain new trust if they hope to outmaneuver him. And the two men will find the best way to get revenge: push the limits of what's possible behind the wheel."
Four Days in July,Unknown,"Two couples, one Catholic, one Protestant, exist on two sides of the chasm that is everyday life in Northern Ireland. Both women are expecting babies, both couples tell offbeat stories, both couples get by with what little they have. Yet Mike Leigh allows his actors to show not how much but how little these two couple have in common. ""Four Days in July"" is wonderful yet scathing look at the turmoil that has engulfed Northern Ireland for generations."
The Bone Collector,"Drama, Mystery, Thriller, Crime","Rookie cop, Amelia Donaghy reluctantly teams with Lincoln Rhyme – formerly the department's top homicide detective but now paralyzed as a result of a spinal injury – to catch a grisly serial killer dubbed 'The Bone Collector'. The murderer's special signature is to leave tantalizing clues based on the grim remains of his crimes."
